# data last user frame sfdCycle
00 0 0 1 19
0A 0 0 1 19
35 0 0 1 19
01 0 0 1 19
02 0 0 1 19
03 0 0 1 19
DE 0 0 1 19
AD 0 0 1 19
BE 0 0 1 19
EF 0 0 1 19
00 0 0 1 19
01 0 0 1 19
08 0 0 1 19
00 0 0 1 19
01 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 1 1 1 19
01 0 0 2 103
0A 0 0 2 103
35 0 0 2 103
01 0 0 2 103
02 0 0 2 103
03 0 0 2 103
DE 0 0 2 103
AD 0 0 2 103
BE 0 0 2 103
EF 0 0 2 103
00 0 0 2 103
01 0 0 2 103
08 0 0 2 103
00 0 0 2 103
02 0 0 2 103
03 0 0 2 103
04 0 0 2 103
05 0 0 2 103
06 0 0 2 103
07 0 0 2 103
08 0 0 2 103
09 0 0 2 103
0A 0 0 2 103
0B 0 0 2 103
0C 0 0 2 103
0D 0 0 2 103
0E 0 0 2 103
0F 0 0 2 103
10 0 0 2 103
11 0 0 2 103
12 0 0 2 103
13 0 0 2 103
14 0 0 2 103
15 0 0 2 103
16 0 0 2 103
17 0 0 2 103
18 0 0 2 103
19 0 0 2 103
1A 0 0 2 103
1B 0 0 2 103
1C 0 0 2 103
1D 0 0 2 103
1E 0 0 2 103
1F 0 0 2 103
20 0 0 2 103
21 0 0 2 103
22 0 0 2 103
23 0 0 2 103
24 0 0 2 103
25 0 0 2 103
26 0 0 2 103
27 0 0 2 103
28 0 0 2 103
29 0 0 2 103
2A 0 0 2 103
2B 0 0 2 103
2C 0 0 2 103
2D 0 0 2 103
2E 0 0 2 103
00 1 0 2 103
00 0 0 3 187
0A 0 0 3 187
35 0 0 3 187
01 0 0 3 187
02 0 0 3 187
03 0 0 3 187
DE 0 0 3 187
AD 0 0 3 187
BE 0 0 3 187
EF 0 0 3 187
00 0 0 3 187
01 0 0 3 187
08 0 0 3 187
00 0 0 3 187
03 0 0 3 187
04 0 0 3 187
05 0 0 3 187
06 0 0 3 187
07 0 0 3 187
08 0 0 3 187
09 0 0 3 187
0A 0 0 3 187
0B 0 0 3 187
0C 0 0 3 187
0D 0 0 3 187
0E 0 0 3 187
0F 0 0 3 187
10 0 0 3 187
11 0 0 3 187
12 0 0 3 187
13 0 0 3 187
14 0 0 3 187
15 0 0 3 187
16 0 0 3 187
17 0 0 3 187
18 0 0 3 187
19 0 0 3 187
1A 0 0 3 187
1B 0 0 3 187
1C 0 0 3 187
1D 0 0 3 187
1E 0 0 3 187
1F 0 0 3 187
20 0 0 3 187
21 0 0 3 187
22 0 0 3 187
23 0 0 3 187
24 0 0 3 187
25 0 0 3 187
26 0 0 3 187
27 0 0 3 187
28 0 0 3 187
29 0 0 3 187
2A 0 0 3 187
2B 0 0 3 187
2C 0 0 3 187
2D 0 0 3 187
2E 0 0 3 187
2F 0 0 3 187
30 1 1 3 187
00 0 0 4 271
0A 0 0 4 271
35 0 0 4 271
01 0 0 4 271
02 0 0 4 271
03 0 0 4 271
DE 0 0 4 271
AD 0 0 4 271
BE 0 0 4 271
EF 0 0 4 271
00 0 0 4 271
01 0 0 4 271
08 0 0 4 271
00 0 0 4 271
04 0 0 4 271
05 0 0 4 271
06 0 0 4 271
07 0 0 4 271
08 0 0 4 271
09 0 0 4 271
0A 0 0 4 271
0B 0 0 4 271
0C 0 0 4 271
0D 0 0 4 271
0E 0 0 4 271
0F 0 0 4 271
10 0 0 4 271
11 0 0 4 271
12 0 0 4 271
13 0 0 4 271
14 0 0 4 271
15 0 0 4 271
16 0 0 4 271
17 0 0 4 271
18 0 0 4 271
19 0 0 4 271
1A 0 0 4 271
1B 0 0 4 271
1C 0 0 4 271
1D 0 0 4 271
1E 0 0 4 271
1F 0 0 4 271
20 0 0 4 271
61 0 0 4 271
22 0 0 4 271
23 0 0 4 271
24 0 0 4 271
25 0 0 4 271
26 0 0 4 271
27 0 0 4 271
28 0 0 4 271
29 0 0 4 271
2A 0 0 4 271
2B 0 0 4 271
2C 0 0 4 271
2D 0 0 4 271
2E 0 0 4 271
2F 0 0 4 271
30 0 0 4 271
31 0 0 4 271
32 1 0 4 271
00 0 0 5 356
0A 0 0 5 356
35 0 0 5 356
01 0 0 5 356
02 0 0 5 356
03 0 0 5 356
DE 0 0 5 356
AD 0 0 5 356
BE 0 0 5 356
EF 0 0 5 356
00 0 0 5 356
01 0 0 5 356
08 0 0 5 356
00 0 0 5 356
05 0 0 5 356
06 0 0 5 356
07 0 0 5 356
08 0 0 5 356
09 0 0 5 356
0A 0 0 5 356
0B 0 0 5 356
0C 0 0 5 356
0D 0 0 5 356
0E 0 0 5 356
0F 0 0 5 356
10 0 0 5 356
11 0 0 5 356
12 0 0 5 356
13 0 0 5 356
14 0 0 5 356
15 0 0 5 356
16 0 0 5 356
17 0 0 5 356
18 0 0 5 356
19 0 0 5 356
1A 0 0 5 356
1B 0 0 5 356
1C 0 0 5 356
1D 0 0 5 356
1E 0 0 5 356
1F 0 0 5 356
20 0 0 5 356
21 0 0 5 356
22 0 0 5 356
23 0 0 5 356
24 0 0 5 356
25 0 0 5 356
26 0 0 5 356
27 0 0 5 356
28 0 0 5 356
29 0 0 5 356
2A 0 0 5 356
2B 0 0 5 356
2C 0 0 5 356
2D 0 0 5 356
2E 0 0 5 356
2F 0 0 5 356
